iter	Passed	Remaining
315	33655	72849
316	33775	72771
317	33882	72667
318	33985	72553
319	34087	72436
320	34191	72323
321	34303	72230
322	34410	72123
323	34521	72025
324	34637	71940
325	34748	71842
326	34857	71739
327	34976	71658
328	35082	71550
329	35200	71467
330	35295	71337
331	35398	71224
332	35507	71121
333	35618	71024
334	35731	70930
335	35841	70829
336	35963	70754
337	36074	70653
338	36194	70574
339	36302	70470
340	36405	70355
341	36509	70243
342	36617	70138
343	36723	70031
344	36841	69944
345	36965	69870
346	37090	69798
347	37211	69718
348	37326	69626
349	37452	69554
350	37569	69465
351	37682	69369
352	37793	69270
353	37900	69163
354	38006	69054
355	38116	68952
356	38231	68860
357	38345	68765
358	38456	68664
359	38555	68543
360	38666	68442
361	38773	68336
362	38888	68241
363	38987	68121
364	39081	67991
365	39189	67885
366	39303	67790
367	39407	67677
368	39526	67592
369	39644	67502
370	39758	67407
371	39873	67313
372	40016	67266
373	40116	67146
374	40218	67030
375	40327	66926
376	40435	66820
377	40557	66737
378	40678	66652
379	40795	66561
380	40933	66503
381	41072	66447
382	41190	66355
383	41297	66247
384	41397	66128
385	41495	66005
386	41595	65887
387	41699	65773
388	41811	65673
389	41932	65586
390	42048	65492
391	42157	65387
392	42267	65283
393	42381	65185
394	42487	65076
395	42588	64958
396	42689	64840
397	42784	64713
398	42892	64608
399	43003	64504
400	43132	64429
401	43249	64336
402	43362	64236
403	43487	64154
404	43601	64056
405	43692	63924
406	43789	63800
407	43889	63682
408	43998	63577
409	44104	63467
410	44212	63361
411	44331	63269
412	44445	63170
413	44557	63069
414	44675	62975
415	44789	62877
416	44911	62790
417	45028	62695
418	45132	62582
419	45242	62478
420	45350	62371
421	45460	62265
422	45575	62168
423	45687	62065
424	45808	61976
425	45921	61874
426	46033	61773
427	46140	61664
428	46257	61568
429	46377	61476
430	46489	61374
431	46590	61258
432	46698	61149
433	46797	61031
434	46924	60947
435	47046	60858
436	47166	60765
437	47281	60667
438	47416	60593
439	47514	60472
440	47604	60342
441	47704	60224
442	47826	60134
443	47955	60052
444	48065	59947
445	48180	59847
446	48289	59740
447	48411	59649
448	48533	59558
449	48648	59459
450	48755	59349
451	48857	59233
452	48962	59122
453	49069	59013
454	49179	58907
455	49284	58795
456	49399	58695
457	49510	58591
458	49621	58486
459	49731	58380
460	49845	58278
461	49953	58171
462	50059	58060
463	50163	57947
464	50273	57841
465	50371	57721
466	50474	57608
467	50573	57489
468	50681	57381
469	50795	57279
470	50904	57172
471	51017	57070
472	51145	56984
473	51253	56875
474	51351	56757
475	51483	56674
476	51593	56568
477	51692	56451
478	51806	56348
479	51936	56264
480	52054	56167
481	52166	56062
482	52281	55961
483	52404	55869
484	52502	55749
485	52589	55619
486	52707	55521
487	52813	55410
488	52919	55300
489	53037	55202
490	53187	55137
491	53288	55021
492	53391	54907
493	53506	54806
494	53619	54702
495	53729	54595
496	53828	54478
497	53950	54383
498	54075	54292
499	54192	54192
500	54300	54083
501	54418	53985
502	54532	53881
503	54654	53786
504	54761	53676
505	54878	53576
506	54981	53463
507	55086	53351
508	55204	53252
509	55328	53158
510	55449	53062
511	55550	52946
512	55649	52828
513	55768	52730
514	55884	52628
515	56000	52527
516	56127	52436
517	56229	52321
518	56330	52205
519	56435	52094
520	56542	51984
521	56652	51876
522	56756	51764
523	56855	51647
524	56964	51539
525	57071	51429
526	57178	51319
527	57292	51215
528	57406	51112
529	57503	50993
530	57602	50876
531	57708	50765
532	57828	50668
533	57945	50566
534	58055	50459
535	58169	50356
536	58273	50243
537	58390	50142
538	58501	50035
539	58613	49929
540	58723	49822
541	58832	49714
542	58943	49607
543	59046	49494
544	59152	49384
545	59251	49267
546	59352	49152
547	59454	49039
548	59577	48942
549	59694	48840
550	59807	48735
551	59919	48630
552	60027	48521
553	60134	48411
554	60254	48312
555	60371	48210
556	60478	48100
557	60588	47992
558	60704	47889
559	60814	47783
560	60909	47663
561	61011	47549
562	61119	47441
563	61223	47329
564	61319	47210
565	61425	47099
566	61523	46983
567	61660	46896
568	61769	46788
569	61876	46678
570	61972	46560
571	62073	46446
572	62185	46340
573	62297	46234
574	62409	46128
575	62508	46013
576	62610	45899
577	62717	45789
578	62829	45684
579	62947	45582
580	63053	45472
581	63149	45355
582	63252	45242
583	63368	45139
584	63478	45031
585	63589	44925
586	63696	44815
587	63797	44701
588	63914	44599
589	64026	44493
590	64139	44387
591	64249	44280
592	64354	44168
593	64449	44051
594	64562	43946
595	64681	43844
596	64817	43754
597	64920	43641
598	65016	43525
599	65132	43421
600	65254	43321
601	65376	43222
602	65499	43122
603	65601	43010
604	65697	42893
605	65801	42781
606	65908	42672
607	66026	42569
608	66150	42471
609	66255	42359
610	66360	42249
611	66469	42140
612	66571	42028
613	66679	41919
614	66807	41822
615	66912	41711
616	67009	41596
617	67109	41481
618	67210	41368
619	67323	41262
620	67428	41151
621	67529	41038
622	67639	40930
623	67753	40825
624	67857	40714
625	67962	40603
626	68074	40497
627	68177	40385
628	68286	40276
629	68391	40166
630	68498	40056
631	68609	39949
632	68713	39838
633	68812	39724
634	68913	39611
635	69025	39505
636	69138	39399
637	69264	39300
638	69384	39198
639	69483	39084
640	69581	38970
641	69680	38856
642	69797	38751
643	69895	38637
644	69994	38524
645	70094	38410
646	70214	38308
647	70347	38213
648	70467	38111
649	70590	38010
650	70705	37905
651	70810	37794
652	70923	37688
653	71066	37598
654	71173	37488
655	71278	37377
656	71375	37263
657	71510	37168
658	71644	37072
659	71740	36957
660	71849	36848
661	71950	36736
662	72049	36622
663	72145	36507
664	72252	36397
665	72364	36290
666	72463	36177
667	72580	36073
668	72705	35972
669	72819	35866
670	72924	35756
671	73030	35645
672	73138	35536
673	73238	35423
674	73342	35313
675	73449	35203
676	73564	35097
677	73663	34984
678	73758	34869
679	73858	34757
680	73949	34640
681	74028	34517
682	74129	34405
683	74232	34294
684	74330	34181
685	74452	34079
686	74560	33970
687	74671	33862
688	74794	33760
689	74894	33648
690	74993	33535
691	75095	33423
692	75199	33313
693	75302	33202
694	75411	33094
695	75522	32986
696	75635	32880
697	75745	32772
698	75846	32660
699	75939	32545
700	76048	32437
701	76147	32324
702	76244	32211
703	76353	32103
704	76462	31994
705	76568	31885
706	76666	31772
707	76796	31673
708	76912	31567
709	77013	31456
710	77111	31343
711	77213	31232
712	77320	31123
713	77425	31013
714	77530	30903
715	77659	30803
716	77759	30691
717	77877	30586
718	77995	30482
719	78110	30376
720	78216	30266
721	78314	30154
722	78418	30044
723	78533	29938
724	78639	29828
725	78735	29715
726	78833	29603
727	78947	29496
728	79065	29391
729	79179	29285
730	79296	29180
731	79422	29078
732	79531	28969
733	79635	28859
734	79733	28747
735	79833	28635
736	79936	28525
737	80055	28420
738	80184	28319
739	80310	28217
740	80442	28116
741	80535	28002
742	80639	27892
743	80757	27787
744	80852	27674
745	80955	27563
746	81081	27461
747	81194	27354
748	81310	27248
749	81445	27148
750	81567	27044
751	81684	26938
752	81792	26829
753	81901	26721
754	82018	26615
755	82124	26505
756	82241	26399
757	82348	26290
758	82461	26183
759	82561	26071
760	82673	25964
761	82783	25856
762	82902	25750
763	83024	25646
764	83127	25535
765	83240	25428
766	83344	25318
767	83446	25207
768	83544	25095
769	83647	24985
770	83746	24874
771	83876	24771
772	83974	24659
773	84086	24552
774	84198	24444
775	84311	24337
776	84431	24231
777	84557	24128
778	84663	24018
779	84784	23913
780	84882	23801
781	84979	23689
782	85079	23578
783	85179	23467
784	85283	23357
785	85414	23255
786	85528	23148
787	85632	23038
788	85741	22929
789	85854	22822
790	85958	22712
791	86056	22600
792	86149	22487
793	86257	22379
794	86356	22268
795	86458	22157
796	86559	22047
797	86662	21937
798	86770	21828
799	86888	21722
800	86999	21614
801	87112	21506
802	87212	21395
803	87313	21285
804	87407	21173
805	87506	21062
806	87622	20955
807	87729	20846
808	87835	20737
809	87946	20629
810	88056	20521
811	88163	20412
812	88267	20302
813	88400	20199
814	88505	20090
815	88606	19979
816	88686	19864
817	88781	19753
818	88886	19644
819	88997	19536
820	89107	19427
821	89220	19320
822	89330	19211
823	89435	19102
824	89535	18992
825	89636	18882
826	89761	18777
827	89869	18668
828	89963	18557
829	90068	18447
830	90177	18339
831	90289	18231
832	90401	18123
833	90523	18017
834	90626	17908
835	90723	17797
836	90837	17689
837	90958	17583
838	91078	17477
839	91187	17368
840	91286	17258
841	91389	17149
842	91504	17041
843	91609	16932
844	91701	16821
845	91801	16710
846	91917	16603
847	92028	16495
848	92137	16387
849	92244	16278
850	92354	16170
851	92455	16060
852	92553	15950
853	92657	15840
854	92766	15732
855	92873	15623
856	92990	15516
857	93096	15407
858	93211	15300
859	93320	15191
860	93435	15084
861	93547	14976
862	93646	14866
863	93747	14756
864	93846	14646
865	93987	14543
866	94093	14434
867	94189	14323
868	94284	14213
869	94385	14103
870	94482	13993
871	94537	13877
872	94622	13765
873	94708	13653
874	94809	13544
875	94902	13433
876	95012	13325
877	95102	13214
878	95194	13104
879	95283	12993
880	95369	12881
881	95461	12771
882	95574	12663
883	95660	12552
884	95758	12443
885	95852	12333
886	95947	12223
887	96052	12114
888	96147	12004
889	96235	11894
890	96327	11784
891	96411	11673
892	96506	11563
893	96600	11453
894	96694	11344
895	96789	11234
896	96884	11124
897	96981	11015
898	97077	10906
899	97181	10797
900	97276	10688
901	97362	10578
902	97448	10467
903	97548	10359
904	97647	10250
905	97744	10141
906	97841	10032
907	97929	9922
908	98016	9812
909	98113	9703
910	98201	9593
911	98288	9484
912	98381	9374
913	98492	9267
914	98585	9158
915	98690	9050
916	98795	8942
917	98883	8832
918	98971	8723
919	99083	8615
920	99195	8508
921	99304	8401
922	99411	8293
923	99524	8186
924	99649	8079
925	99754	7971
926	99852	7863
927	99962	7755
928	100081	7648
929	100187	7540
930	100298	7433
931	100406	7325
932	100512	7217
933	100617	7110
934	100727	7002
935	100844	6895
936	100962	6788
937	101073	6680
938	101169	6572
939	101314	6466
940	101415	6358
941	101527	6251
942	101639	6143
943	101763	6036
944	101879	5929
945	101970	5820
946	102070	5712
947	102157	5603
948	102251	5495
949	102346	5386
950	102441	5278
951	102541	5170
952	102644	5062
953	102763	4955
954	102855	4846
955	102965	4738
956	103057	4630
957	103142	4521
958	103258	4414
959	103384	4307
960	103480	4199
961	103573	4091
962	103661	3982
963	103749	3874
964	103857	3766
965	103965	3659
966	104050	3550
967	104148	3442
968	104237	3334
969	104323	3226
970	104411	3118
971	104522	3010
972	104649	2903
973	104761	2796
974	104873	2689
975	104969	2581
976	105081	2473
977	105193	2366
978	105293	2258
979	105398	2150
980	105501	2043
981	105592	1935
982	105688	1827
983	105783	1720
984	105886	1612
985	105984	1504
986	106079	1397
987	106173	1289
988	106273	1182
989	106379	1074
990	106497	967
991	106602	859
992	106709	752
993	106805	644
994	106902	537
995	107016	429
996	107112	322
997	107209	214
998	107305	107
999	107425	0
