iter	MAE	RMSE
203	0.1153113271	0.1567657169
204	0.1151495868	0.1565295979
205	0.1150268827	0.1564026208
206	0.1149373612	0.1562915022
207	0.114818761	0.156132497
208	0.1146541668	0.1558865445
209	0.1146262105	0.1558528766
210	0.1144904362	0.1556731012
211	0.1143167459	0.1554100877
212	0.1141201091	0.1552160359
213	0.1138933907	0.1548762977
214	0.1136717315	0.1546220653
215	0.1135880222	0.1545110325
216	0.1134350039	0.1542370767
217	0.1134060568	0.1541831946
218	0.1133590502	0.1541266753
219	0.1132942946	0.1540464002
220	0.1131970526	0.1539060331
221	0.113152345	0.1538480092
222	0.1130347528	0.153704053
223	0.1129678275	0.1536073837
224	0.1129174233	0.1535571558
225	0.1128066334	0.1533989078
226	0.1127031522	0.1532738105
227	0.1126659133	0.1531969094
228	0.1124572971	0.1529550532
229	0.1122306517	0.1526421144
230	0.112091249	0.1524428937
231	0.1118685004	0.1522057201
232	0.1117279054	0.1520454435
233	0.1115281213	0.1517461574
234	0.1114135405	0.1515659122
235	0.1112271108	0.1512967748
236	0.1111764513	0.1512025476
237	0.1110175766	0.1509752289
238	0.110920422	0.1508386606
239	0.1107832797	0.15059853
240	0.1106697928	0.15043733
241	0.1105171691	0.1502340566
242	0.1103955871	0.1500471036
243	0.1103518408	0.1499801843
244	0.1102973065	0.1499112844
245	0.1102001265	0.1497852888
246	0.1100144577	0.1495284171
247	0.1098874189	0.1493604643
248	0.1098249507	0.1492718554
249	0.1097747377	0.14919211
250	0.1097263003	0.1491200944
251	0.109688214	0.1490683599
252	0.1095671427	0.1488820067
253	0.1095298708	0.1488335219
254	0.1092250966	0.148394544
255	0.1091497454	0.1482938268
256	0.1091190275	0.1482453702
257	0.1090750243	0.1481780236
258	0.108954412	0.148048088
259	0.1088604523	0.1479463063
260	0.1087057778	0.1477407785
261	0.1086559248	0.1476783599
262	0.1085204575	0.1474881077
263	0.1084641123	0.1474017841
264	0.108283549	0.1471820249
265	0.1082629974	0.1471564736
266	0.1081671334	0.1470492817
267	0.1080201831	0.1468259481
268	0.1079308054	0.146689982
269	0.1076459117	0.1462821824
270	0.1075798658	0.1461908604
271	0.1074772642	0.1460411891
272	0.1073660205	0.1458600279
273	0.1073392884	0.1458233343
274	0.1073093522	0.1457635305
275	0.1072642846	0.1457133971
276	0.1070366076	0.145387415
277	0.1068768432	0.1451487041
278	0.106794043	0.1450064967
279	0.1066872185	0.1448434082
280	0.1065458477	0.1446221339
281	0.1064844089	0.1445648493
282	0.1063539619	0.1443741848
283	0.106290302	0.1442933578
284	0.1062162045	0.1442116399
285	0.1060976596	0.1440173364
286	0.1060700704	0.1439639802
287	0.1059698981	0.1438660499
288	0.1057702266	0.1435572174
289	0.1055344211	0.1431989208
290	0.1053752313	0.1429738274
291	0.1052552935	0.1427893813
292	0.1050599233	0.1425707145
293	0.104868982	0.1422971104
294	0.1047541738	0.1421226815
295	0.1047093588	0.1420486344
296	0.1045622833	0.1418054339
297	0.1044131131	0.1415668577
298	0.1044001468	0.1415505994
299	0.1042136341	0.1412695464
300	0.1041064307	0.1411110058
301	0.1038858452	0.1407897806
302	0.1037976032	0.1406460964
303	0.1037238546	0.1405508983
304	0.1035475084	0.1403228144
305	0.1033831725	0.1400930883
306	0.1033495862	0.1400445838
307	0.1032404421	0.1398760856
308	0.1031709229	0.1397832267
309	0.1031431628	0.1397420325
310	0.103072906	0.1396502631
311	0.1029794248	0.1395016575
312	0.1028750591	0.1394042969
313	0.1026986569	0.1391377853
314	0.102669167	0.1391000315
315	0.1025481018	0.1389317963
316	0.1023305394	0.1386428436
317	0.102142373	0.1383783441
318	0.1020985269	0.1383202837
319	0.1019316027	0.1381187284
320	0.1019118981	0.1380913371
321	0.1018450313	0.1379800411
322	0.1017520025	0.1378480528
323	0.1016301209	0.1376557851
324	0.1014518188	0.1374313795
325	0.1014397411	0.1374051244
326	0.1013766575	0.1373075555
327	0.1012967635	0.1371558469
328	0.1012883839	0.137149763
329	0.1012261381	0.1370904035
330	0.1011091433	0.1369413479
331	0.1010027718	0.1368018869
332	0.1009261943	0.1367152051
333	0.1008628648	0.1366223178
334	0.1007996808	0.1365516406
335	0.1007360124	0.1364506366
336	0.1006223429	0.1362742638
337	0.1004270957	0.1360286279
338	0.1002507067	0.1357325724
339	0.1000241441	0.1354221551
340	0.09979040926	0.1350928026
341	0.09960852764	0.1349186355
342	0.09953526204	0.1348162708
343	0.09951715412	0.1347939936
344	0.09942705653	0.1346786798
345	0.09938054482	0.1346004538
346	0.09933296575	0.1345141459
347	0.09929324194	0.1344517438
348	0.09923781733	0.1343716976
349	0.09915878771	0.1342551629
350	0.09904909523	0.134101403
351	0.09903146565	0.134063843
352	0.09892451563	0.1338890907
353	0.09878583044	0.1336862744
354	0.09866799442	0.1334980988
355	0.09859365363	0.1333978033
356	0.09852564096	0.1333058066
357	0.09843316032	0.1331923521
358	0.09834635849	0.1330632151
359	0.09822094539	0.1329090017
360	0.09812280892	0.1327671953
361	0.098065359	0.1326897655
362	0.09791550396	0.1324977051
363	0.09783481795	0.1323748178
364	0.09758252358	0.1320837196
365	0.09751917761	0.1320032063
366	0.09738734854	0.1318112142
367	0.09730863576	0.1316946155
368	0.09723656787	0.1315874335
369	0.09717783756	0.1314916443
370	0.09711305669	0.1313925383
371	0.0969763423	0.1312459641
372	0.09692921236	0.1311744212
373	0.09688226114	0.1310963032
