iter	MAE	RMSE
878	0.06493489476	0.08763132618
879	0.06492170605	0.08761974314
880	0.06490346329	0.08758987535
881	0.06486823342	0.08753905911
882	0.06484236765	0.08750489439
883	0.06478027963	0.08742543348
884	0.06475350346	0.08738172063
885	0.064678983	0.08726635113
886	0.06462721688	0.08720423353
887	0.06460944599	0.08717849777
888	0.064562468	0.0871314337
889	0.06453847927	0.08710198571
890	0.0645193848	0.08707788094
891	0.06448714544	0.0870456291
892	0.06443935513	0.08699591434
893	0.06440571715	0.0869460732
894	0.06435882943	0.08688744388
895	0.06432255458	0.08682544735
896	0.06429564081	0.08677992527
897	0.06428308728	0.08676547815
898	0.0642449593	0.08670771862
899	0.06423682498	0.08669897717
900	0.06419261308	0.08664799302
901	0.06410430955	0.0865371557
902	0.06406377063	0.08648987028
903	0.06402944173	0.08645694978
904	0.06399422717	0.08641146451
905	0.06395389641	0.08636584155
906	0.063920002	0.0863192112
907	0.06388053483	0.0862764301
908	0.06386250855	0.08625450427
909	0.06383073034	0.08620290362
910	0.06381860739	0.08619018163
911	0.06378642241	0.08616268641
912	0.06375676531	0.08612742364
913	0.06368001758	0.08602848354
914	0.06364940345	0.08598767247
915	0.06363523485	0.08597158198
916	0.06355407664	0.08586947968
917	0.0635049258	0.08581322523
918	0.06341195507	0.08569183639
919	0.06338851558	0.08566306607
920	0.0633682831	0.08564715249
921	0.06331421723	0.08559038458
922	0.06325606205	0.08549988988
923	0.06319278821	0.08540443431
924	0.06313917581	0.08532850909
925	0.06305428102	0.08522482608
926	0.0629819344	0.08510294686
927	0.06295619455	0.08507388536
928	0.06292716096	0.08504016691
929	0.06285345537	0.08493342763
930	0.06283176852	0.08489744844
931	0.06281438395	0.08486498292
932	0.06279834256	0.08484651087
933	0.06271321275	0.08472730285
934	0.06266820919	0.08467485323
935	0.06260789781	0.08460451078
936	0.06254883797	0.08454077984
937	0.0625194251	0.08451495434
938	0.06247654145	0.08445815304
939	0.06244039856	0.08441270134
940	0.06235842283	0.08431243932
941	0.06233119739	0.08428892765
942	0.06225736269	0.08418782166
943	0.06222661477	0.08415037369
944	0.06218716494	0.08407537828
945	0.0621552344	0.08403441871
946	0.06211522682	0.0839787005
947	0.06208205917	0.08394058056
948	0.06205336958	0.0839011791
949	0.06200214788	0.08382576222
950	0.06193579018	0.08374800048
951	0.06191957249	0.08372316796
952	0.06183742979	0.08362022552
953	0.06180705409	0.08358160996
954	0.06177864744	0.08353019182
955	0.06176080363	0.08350580778
956	0.06173293174	0.08347248839
957	0.06168027872	0.08342719121
958	0.06162810478	0.08335854637
959	0.06161079991	0.08333728548
960	0.06152108098	0.08323235201
961	0.06150024007	0.08319405894
962	0.06143163881	0.08310997703
963	0.06139121668	0.08306072185
964	0.06131862038	0.08295602905
965	0.06127835486	0.08288955954
966	0.06123931903	0.0828468103
967	0.06119153896	0.08276996968
968	0.06116639095	0.08273703172
969	0.06113922893	0.08269977012
970	0.06111114032	0.08266272889
971	0.06109438625	0.08263092797
972	0.06104493623	0.08257213866
973	0.06102442262	0.08254285435
974	0.0609427499	0.08245293982
975	0.06091326074	0.08242160568
976	0.0609061158	0.08241626146
977	0.06084873827	0.08232254092
978	0.06080002958	0.08224295834
979	0.06077446818	0.08221180574
980	0.06071242861	0.08213667176
981	0.06068374626	0.08211146517
982	0.06065257373	0.08206935899
983	0.06063664393	0.08205403414
984	0.06058124186	0.08196122976
985	0.06056456707	0.08193700124
986	0.06051672767	0.0818500384
987	0.06050568343	0.08184090212
988	0.06040971982	0.08169783594
989	0.06038192288	0.08166703697
990	0.06034359528	0.0816240695
991	0.06029394575	0.08154741815
992	0.06024420518	0.08148654881
993	0.06023242527	0.08146699184
994	0.06019528771	0.08142841267
995	0.06015667164	0.0813722301
996	0.06010192328	0.08130279682
997	0.06007587265	0.08126410493
998	0.06003336068	0.08120711515
999	0.05999816915	0.08116553769
